Sample No.,Compound detected,C16:0 (??13C),C18:0 (??13C),Interpretation via CSIA
KIM038,"C14:0, C15:0, C15:1, C16:0, C16:1, C17:0, C18:0, C18:1, C19:0, C20:0, C21:0, C22:0, C24:0",-29.6,-31.2,Ruminant adipose
KIM042,"C14:0, C16:0, C17:0, C18:0, C20:0, C20:1, C22:0, C24:0",-28.8,-27.3,Not identifiable 
KIM043,"C16:0, C17:0, C18:0, C20:0, C22:0",-26.7,-25.4,Pork adipose
KIM044,"C14:0, C15:0, C16:0, C16:1, C17:0, C18:0, C20:0, C24:0",-25.6,-26.2,Aquatic resource and/or Pork adipose
KIM049,"C14:0, C15:0, C16:0, C17:0, C18:0, C24:0",-16.8,-17.2,Marine 
KIM051,"C14:0, C15:0, C16:0, C16:1, C17:0, C18:0, C19:0, C20:0, C22:0, C23:0, C24:0",-27.8,-27.7,Pork adipose and/or C3 plant oil  
KIM052,"C16:0, C18:0, C22:2 ",-27.9,-29.3,Ruminant adipose and/or C3 plant oil
KIM057,"C15:0, C16:0, C17:0, C18:0, C20:0, C20:1",-24.8,-22.5,Pork adipose
KIM059,"C14:0, C15:0, C16:0, C17:0, C18:0, C19:0, C20:0, C24:0",-27.3,-27.7,Not identifiable
KIM060,"C14:0, C15:0, C16:0, C17:0, C18:0, C18:1, C19:0, C20:0, C20:1, C22:0, C24:0",-26.7,-24.7,Pork adipose
KIM061,"C14:0, C16:0, C18:0, C20:0, phytanic acid",-23,-25.4,Marine 
KIM062,"C16:0, C18:0",-27.8,-26.9,Pork adipose and/or C3 plant oil
KIM069,"C16:0, C17:0, C18:0, C20:0",-25.7,-26.6,Aquatic resource and/or Pork adipose
KIM071,"C16:0, C18:0",-28.7,-29.8,Ruminant adipose
KIM072,"C16:0, C18:0",-28.3,-29.7,Ruminant adipose and/or  C3 plant oil
KIM073,"C14:0, C16:0, C17:0, C18:0",-27.2,-27.8,Pork adipose and/or C3 plant oil
KIM075,"C14:0, C15:0, C16:0, C17:0, C18:0, C20:0, C20:1",-24.1,-23.5,Marine and/or Pork adipose
KIM076,"C14:0, C16:0, C17:0, C18:0, C20:0",-26.5,-26.4,Pork adipose
KIM077,"C14:0, C16:0, C18:0",-27.3,-27.5,Not identifiable
KIM078,"C14:0, C16:0, C18:0, C20:0",-21.8,-24.7,Marine
