Location/house pit No.,Cultural historical period,C14 date (BP; uncalibrated),Calendar date 
Area 2.dash.1 B /No.1,Mumun,2650pm50,BC 815
Area 2.dash.1 B.dash.1 /No.1,Mumun,3010pm50,BC 1255
Area 2.dash.1 B.dash.1 /No.2,Mumun,2540pm40,BC 770
Area 1.dash.D /No.22,Mumun ,2770pm60,BC 910
Area 1.dash.D /No.23,Mumun,2850pm40,BC 1005
Area 2.dash.1 F /No.1,Chulmun,4530pm50,BC 3175
Area 2.dash.1 F /No.2,Chulmun,4550pm50,BC 3175
Area 1.dash.G /No.4,Mumun,2700pm40,BC 835
Area 1.dash.G /No.2,Mumun,2680pm50,BC 830
Area 1.dash.H /No.5,Mumun,2380pm40,BC 455
Area 1.dash.H /No.12,Mumun,2770pm40,BC 935
Area 2.dash.1 B.dash.1??/No.3,Mumun,2950pm50,BC 1175
Area 2.dash.1 J /No.1,Mumun,2670pm40,BC 820
Area 2.dash.1 J /No.3,Mumun,2820pm50,BC 975
Area 2.dash.1 J /No.4,Mumun,2740pm50,BC 875
Area 2.dash.1 J /No.6,Mumun,2830pm50,BC 980
Area 2.dash.1 J /No.9,Chulmun,4020pm50,BC 2525
Area 2.dash.1 J /No.10,Mumun,2710pm40,BC 860
Area 2.dash.1 J /No.12,Mumun,2900pm50,BC 1100
Area 2.dash.1 J /No.13,Mumun,2650pm50,BC 815
Area 2.dash.1 J /No.13,Mumun,2920pm50,BC 1130
Area 2.dash.1 J /No.16,Mumun,2630pm40,BC 808
Area 2.dash.1 J /No.18,Mumun,2560pm50,BC 775
Area 2.dash.1 K /No.1,Mumun ,2900pm50,BC 1100
Area 2.dash.1 K /No.2,Mumun,2630pm40,BC 808
Area 1.dash.K /No.3,Mumun,3020pm50,BC 1300
Area 1.dash.L /No.3,Mumun,2960pm50,BC 1190
Area 1.dash.L /No.5,Mumun,2750pm50,BC 885
Area 1.dash.L /No.6,Mumun,2550pm40,BC 770
Area 1.dash.L /No.10,Mumun,2820pm50,BC 975
Area 1.dash.L /No.11,Mumun,2910pm50,BC 1105
Area 1.dash.L /No.12,Mumun,2820pm60,BC 975
Area 1.dash.L /No.13,Mumun,2750pm50,BC 885
Area 1.dash.L /No.14,Mumun,2800pm50,BC 955
Area 1.dash.L /No.15,Mumun,3090pm60,BC 1360
Area 1.dash.L /No.16,Mumun,2990pm50,BC 1215
Area 1.dash.L /No.17,Mumun,2910pm50,BC 1105
Area 1.dash.L /No.19,Mumun,2720pm50,BC 863
Area 1.dash.L /No.20,Mumun,2550pm50,BC 770
Area 2.dash.3 Na /No.1,Mumun,2520pm50,BC 595
Area 2.dash.3 Na /No.3,Mumun,2660pm60,BC 845
Area 2.dash.3 Na /No.4,Mumun,2760pm50,BC 885
Area 2.dash.3 Na /No.6,Mumun,2680pm56,BC 830
Area 2.dash.3 Na /No.7,Mumun,2710pm50,BC 858
Area 2.dash.3 Na /No.8,Mumun,2920pm50,BC 1130
Area 2.dash.3 Na /No.15,Mumun,2850pm50,BC 1010
Area 2.dash.4 Ga /No. 2,Baekje Kingdom,1730pm80,AD 320
Area 2.dash.4 Ga /No. 11,Baekje Kingdom,1670pm50,AD 375
Area 2.dash.4 Ga /No. 13,Baekje Kingdom,1670pm60,AD 375
Area 2.dash.4 Ga /No. 8,BaekJe Kingdom,1880pm60,AD 145
