Sample No.,Location/house pit No.,Part ,C14 date (BP; uncalibrated)
KIM030,Area 2-3 ¡°Na¡±/No.3,Body,2660¡¾50 
KIM031,Area 2-3 ¡°Na¡±/No.3,Body,
KIM032,Area 2-3 ¡°Na¡±/No.7,Body,2710¡¾50 
KIM033,Area 2-3 ¡°Na¡±/No.7,Body,2710¡¾50 
KIM034,Area 2-3 ¡°Na¡±/No.7,Body,2760¡¾50 
KIM035,Area 2-3 ¡°Na¡±/No.8,Body,2920¡¾50 
KIM036,Area 2-3 ¡°Na¡±/No.8,Body,2920¡¾50 
KIM037,Area 2-3 ¡°Na¡±/No.8,Body,2920¡¾50 
KIM038,Area 2-3 ¡°Na¡±/No.11,Body,
KIM039,Area 2-1 ¡°L¡±/No.3,Body,2960¡¾50
KIM040,Area 2-1 ¡°L¡±/No.3,Body,2960¡¾50
KIM041,Area 2-1 ¡°L¡±/No.3,Body,2960¡¾50
KIM042,Area 2-1 ¡°L¡±/No.10,Rim,2820¡¾50 
KIM043,Area 2-1 ¡°L¡±/No.10,Body,2820¡¾50 
KIM044,Area 2-1 ¡°L¡±/No.11,Body,2910¡¾50 
KIM045,Area 2-1 ¡°L¡±/No.11,Body,2910¡¾50 
KIM046,Area 2-1 ¡°F¡±/No.1,Body,4530¡¾50 (Chulmun)
KIM047,Area 2-1 ¡°F¡±/No.1,Body,4530¡¾50 (Chulmun)
KIM048,Area 2-1 ¡°B-1¡±/No.1,Body,
KIM049,Area 2-1 ¡°D¡±/No.14,Body,
KIM050,Area 2-1 ¡°D¡±/No.14,Body,
KIM051,Area 2-1 ¡°D¡±/No.8,Body,
KIM052,Area 2-1 ¡°D¡±/No.8,Body,
KIM053,Area 2-1 ¡°D¡±/No.9,Body,
KIM054,Area 2-1 ¡°D¡±/No.9,Body,
KIM055,Area 2-1 ¡°D¡±/No.15,Body,
KIM056,Area 2-1 ¡°D¡±/No.15,Body,
KIM057,Area 2-1 ¡°L¡±/No.3,Body,
KIM058,Area 2-1 ¡°D¡±/No.10,Body,
KIM059,Area 2-3 ¡°NA¡±/No.5,Body,
KIM060,Area 2-3 ¡°NA¡±/No.5,Body,
KIM061,Area 2-1 ¡°G¡±/No.3,Body,
KIM062,Area 2-1 ¡°G¡±/No.3,Body,
KIM063,Area 2-1 ¡°H¡±/No.5,Body,2380¡¾40
KIM064,Area 2-1 ¡°H¡±/No.5,Body,2380¡¾40
KIM065,Area 2-1 ¡°H¡±/No.12,Body,2770¡¾40
KIM066,Area 2-1 ¡°H¡±/No.12,Body,2770¡¾40
KIM067,Area 2-1 ¡°H¡±/No.20,Body,
KIM068,Area 2-1 ¡°H¡±/No.20,Body,
KIM069,Area 2-4 ¡°Ra¡±/No.20,Body,
KIM070,Area 2-3 ¡°Na¡±/No.3,Body,
KIM071,Area 2-1 ¡°B-1¡±/No.3,Body,
KIM072,Area 2-1 ¡°D¡±/No.14,Body,
KIM073,Area 2-1 ¡°G¡±/No.5,Rim,
KIM074,Area 2-1 ¡°G¡±/No.5,Body,
KIM075,Area 2-1 ¡°J¡±/No.1,Body,
KIM076,Area 2-1 ¡°L¡±/No.1,Body,
KIM077,Area 2-1 ¡°D¡±/No.9,Body,
KIM078,Area 2-1 ¡°L¡±/No.9,Rim,
